url,source_file,locale,page_type,indexability,canonical,primary_keyword,search_intent,title_current,title_proposed,h1_current,h1_proposed,meta_description_current,meta_description_proposed,primary_cta_current,primary_cta_proposed,content_action,hreflang_status,internal_link_action,proof_needed,notes
/pay-per-service,client/i18n/content/payPerService.ts,en,Service catalog,Indexable,https://digitalfacemarketing.com/pay-per-service,marketing and automation services for clinics,Commercial,Pay per Service | DigitalFace Marketing,Marketing & Automation Services for Clinics | DigitalFace Marketing,"Take the one piece you need, without the bundle.",unchanged,"Hire a single DigitalFace capability at a time: advertising, automation, chatbots, CRM, reporting, websites and funnels.","Hire one DigitalFace capability at a time instead of a full system: Meta and Google ads, chatbots, workflow automation, CRM setup, reporting, websites and funnels.",Book a call,unchanged,Metadata only.,"OK: en / es / x-default, reciprocal","Already receives mega-menu links to ~20 anchors. See HUMAN-REVIEW: these anchors are a candidate for real sub-pages.",No,"Old title (""Pay per Service"") was an internal pricing-model label, not a search term."
/es/pay-per-service,client/i18n/content/payPerService.ts,es,Service catalog,Indexable,https://digitalfacemarketing.com/es/pay-per-service,servicios de marketing digital para clínicas,Commercial,Servicios por separado | DigitalFace Marketing,Servicios de Marketing y Automatización para Clínicas | DigitalFace Marketing,Llévate solo la pieza que necesitas.,unchanged,"Contrata una sola capacidad de DigitalFace a la vez: pauta digital, automatización, chatbots, CRM, reportes, sitios web y embudos.","Contrata una sola capacidad de DigitalFace a la vez en lugar del sistema completo: pauta en Meta y Google, chatbots, automatización de procesos, CRM, reportes, sitios web y embudos.",Agenda una llamada,unchanged,Metadata only.,"OK: en / es / x-default, reciprocal",Same as EN.,No,
/pricing,client/i18n/content/pricing.ts,en,Pricing,Indexable,https://digitalfacemarketing.com/pricing,clinic marketing pricing / plans,Commercial,Plans | DigitalFace Marketing,Plans & Pricing for Clinic Growth Systems | DigitalFace Marketing,Choose the system that fits where your practice is today,unchanged,"DigitalFace Capture, DigitalFace AI and DigitalFace Full Growth: what each plan includes, what it costs and what is billed separately.","DigitalFace Capture, DigitalFace AI and DigitalFace Full Growth for dental, aesthetic and med spa practices: what each plan includes, what it costs and what is billed separately.",Book a call,unchanged,Metadata only. Prices untouched.,"OK: en / es / x-default, reciprocal",Now receives contextual links from all three industry funnels.,No,"Adding ""Pricing"" matters: buyers search the word, and the old title omitted it."
/es/pricing,client/i18n/content/pricing.ts,es,Pricing,Indexable,https://digitalfacemarketing.com/es/pricing,precios marketing para clínicas,Commercial,Planes | DigitalFace Marketing,Planes y Precios para Clínicas | DigitalFace Marketing,Elige el sistema que corresponde al momento de tu clínica,unchanged,"DigitalFace Capture, DigitalFace AI y DigitalFace Full Growth: qué incluye cada plan, cuánto cuesta y qué se factura aparte.","DigitalFace Capture, DigitalFace AI y DigitalFace Full Growth para clínicas odontológicas, de medicina estética y med spas: qué incluye cada plan, cuánto cuesta y qué se factura aparte.",Agenda una llamada,unchanged,Metadata only. Prices untouched.,"OK: en / es / x-default, reciprocal",Same as EN.,No,
/about,client/i18n/content/about.ts,en,About,Indexable,https://digitalfacemarketing.com/about,about digitalface marketing,Brand / trust,About DigitalFace Marketing,About DigitalFace Marketing | Bilingual Patient Growth Team,We build and run your sales system.,unchanged,"Who we are, how we install the DigitalFace Sales System, and how we support the practices that run on it.","A bilingual team working from Miami and Cali that installs and runs patient acquisition, follow-up and booking systems for dental, aesthetic medicine and med spa practices.",Book a call,unchanged,Metadata only.,"OK: en / es / x-default, reciprocal",No change needed.,"Yes — see HUMAN-REVIEW (team size, founding year, certifications are all absent)",Miami/Cali claim is already published in the footer and on /contact.
/es/about,client/i18n/content/about.ts,es,About,Indexable,https://digitalfacemarketing.com/es/about,sobre digitalface marketing,Brand / trust,Sobre DigitalFace Marketing,Sobre DigitalFace Marketing | Equipo Bilingüe de Crecimiento,Construimos y operamos tu sistema de ventas.,unchanged,"Quiénes somos, cómo instalamos el Sistema de Ventas DigitalFace y cómo acompañamos a las clínicas que lo usan.","Un equipo bilingüe entre Miami y Cali que instala y opera sistemas de captación, seguimiento y agendamiento de pacientes para clínicas odontológicas, de medicina estética y med spas.",Agenda una llamada,unchanged,Metadata only.,"OK: en / es / x-default, reciprocal",No change needed.,Yes — same as EN,
/contact,client/i18n/content/contact.ts,en,Conversion,Indexable,https://digitalfacemarketing.com/contact,contact digitalface / book a call,Transactional,Contact DigitalFace Marketing,Contact DigitalFace Marketing | Book a Patient Growth Call,See the system running.,unchanged,Tell us about your practice and your current lead flow. We reply within one business day.,"Tell us about your practice and how patient inquiries reach you today. We map your follow-up flow and bring a plan to the call, and we reply within one business day.",Send request,unchanged,Metadata only. Form microcopy already states what happens next.,"OK: en / es / x-default, reciprocal",No change needed.,No,"""We reply within one business day"" is already published on the page and in the footer, so it is preserved rather than invented."
/es/contact,client/i18n/content/contact.ts,es,Conversion,Indexable,https://digitalfacemarketing.com/es/contact,contacto digitalface / agendar llamada,Transactional,Contacta a DigitalFace Marketing,Contacto | Agenda una Llamada con DigitalFace Marketing,Mira el sistema funcionando.,unchanged,Cuéntanos sobre tu clínica y cómo llegan tus consultas hoy. Respondemos en un día hábil.,"Cuéntanos sobre tu clínica y cómo llegan tus consultas de pacientes hoy. Mapeamos tu flujo de seguimiento y llegamos a la llamada con un plan. Respondemos en un día hábil.",Enviar solicitud,unchanged,Metadata only.,"OK: en / es / x-default, reciprocal",No change needed.,No,
/privacy,client/i18n/content/legal.ts,en,Legal,Indexable,https://digitalfacemarketing.com/privacy,digitalface privacy policy,Informational,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,n/a,n/a,No edit. Legal copy deliberately untouched.,"OK: en / es / x-default, reciprocal",No change needed.,No,Legally sensitive; excluded from copy work by the guardrails.
/es/privacy,client/i18n/content/legal.ts,es,Legal,Indexable,https://digitalfacemarketing.com/es/privacy,política de privacidad digitalface,Informational,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,n/a,n/a,No edit.,"OK: en / es / x-default, reciprocal",No change needed.,No,
/terms,client/i18n/content/legal.ts,en,Legal,Indexable,https://digitalfacemarketing.com/terms,digitalface terms of service,Informational,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,n/a,n/a,No edit.,"OK: en / es / x-default, reciprocal",No change needed.,No,
/es/terms,client/i18n/content/legal.ts,es,Legal,Indexable,https://digitalfacemarketing.com/es/terms,términos del servicio digitalface,Informational,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,n/a,n/a,No edit.,"OK: en / es / x-default, reciprocal",No change needed.,No,
(catch-all 404),client/pages/NotFound.tsx,en+es,Error,"Was indexable (HTTP 200 + no directive); now noindex, follow",n/a,none,n/a,Page not found | DigitalFace Marketing,unchanged,We could not find that page,unchanged,unchanged,unchanged,Back to home,unchanged,Added noindex directive.,Not applicable to an error page,Links to home and contact.,No,"P0 fix: the SPA answers unknown URLs with HTTP 200, so any stale or mistyped link was an indexable soft 404."
